"Date","Price","Open","High","Low","Vol.","Change %"
"05/07/2026","0.05539500","0.05562000","0.05563000","0.05525000","","-0.56%"
"28/06/2026","0.05570500","0.05592500","0.05607500","0.05554500","","-0.22%"
"21/06/2026","0.05583000","0.05616000","0.05624500","0.05559000","","-0.72%"
"14/06/2026","0.05623500","0.05628500","0.05657500","0.05592000","","0.50%"
"07/06/2026","0.05595500","0.05527500","0.05602000","0.05494500","","0.81%"
"31/05/2026","0.05550500","0.05595500","0.05610500","0.05535000","","-0.80%"
"24/05/2026","0.05595500","0.05648000","0.05649500","0.05588500","","-0.97%"
"17/05/2026","0.05650500","0.05668500","0.05688000","0.05629500","","-1.31%"
"10/05/2026","0.05725500","0.05752500","0.05773500","0.05701500","","-0.57%"
"03/05/2026","0.05758500","0.05771500","0.05775000","0.05731000","","-0.31%"
"26/04/2026","0.05776500","0.05810000","0.05817500","0.05751000","","-0.68%"
"19/04/2026","0.05816000","0.05827000","0.05841500","0.05772500","","-0.04%"
"12/04/2026","0.05818500","0.05838500","0.05847500","0.05815000","","-0.56%"
"05/04/2026","0.05851000","0.05881500","0.05888500","0.05840000","","-0.55%"
"29/03/2026","0.05883500","0.05887000","0.05920000","0.05871000","","-0.18%"
"22/03/2026","0.05894000","0.05889000","0.05929000","0.05889000","","0.08%"
"15/03/2026","0.05889000","0.05899500","0.05899500","0.05883000","","-0.23%"
"08/03/2026","0.05902500","0.05885500","0.05939500","0.05883500","","-0.21%"
"01/03/2026","0.05915000","0.05944000","0.05947000","0.05905000","","-0.83%"
"22/02/2026","0.05964500","0.05928500","0.05975500","0.05928500","","0.60%"
"15/02/2026","0.05929000","0.05941500","0.05942500","0.05895500","","-0.21%"
"08/02/2026","0.05941500","0.05928500","0.05966500","0.05923500","","0.21%"
"01/02/2026","0.05929000","0.05955500","0.05967000","0.05919000","","-0.47%"
"25/01/2026","0.05957000","0.05954000","0.05995000","0.05946500","","0.18%"
"18/01/2026","0.05946500","0.05925500","0.05953500","0.05886000","","0.41%"
"11/01/2026","0.05922000","0.05938500","0.05946000","0.05918500","","-0.50%"
"04/01/2026","0.05952000","0.05982500","0.05983500","0.05935500","","-0.48%"
"28/12/2025","0.05980500","0.05966000","0.05996500","0.05953500","","0.21%"
"21/12/2025","0.05968000","0.05974500","0.05974500","0.05952000","","-0.08%"
"14/12/2025","0.05973000","0.06009000","0.06009000","0.05969500","","-0.60%"
"07/12/2025","0.06009000","0.06002000","0.06013500","0.05988500","","0.00%"
"30/11/2025","0.06009000","0.06002000","0.06018000","0.05996500","","0.08%"
"23/11/2025","0.06004000","0.05984000","0.06016500","0.05980500","","0.24%"
"16/11/2025","0.05989500","0.05983500","0.05992000","0.05964500","","0.00%"
"09/11/2025","0.05989500","0.05998500","0.06007500","0.05974000","","-0.06%"
"02/11/2025","0.05993000","0.06011000","0.06017500","0.05971500","","-0.33%"
"26/10/2025","0.06013000","0.06023500","0.06026500","0.06005500","","-0.21%"
