"Date","Close","RSI rsi (14)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist"
"7/11/2021","4.2075","","","",""
"7/18/2021","4.2298","","","",""
"7/25/2021","4.2247","","","",""
"8/1/2021","4.2228","","","",""
"8/8/2021","4.2360","","","",""
"8/15/2021","4.2385","","","",""
"8/22/2021","4.1900","","","",""
"8/29/2021","4.1465","","","",""
"9/5/2021","4.1385","","","",""
"9/12/2021","4.1715","","","",""
"9/19/2021","4.1892","","","",""
"9/26/2021","4.1850","","","",""
"10/3/2021","4.1757","","","",""
"10/10/2021","4.1585","43.3100","","",""
"10/17/2021","4.1565","42.9293","","",""
"10/24/2021","4.1470","41.0823","","",""
"10/31/2021","4.1600","44.5953","","",""
"11/7/2021","4.1665","46.3188","","",""
"11/14/2021","4.1867","51.3805","","",""
"11/21/2021","4.2455","62.4731","","",""
"11/28/2021","4.2308","58.8577","","",""
"12/5/2021","4.2125","54.6201","","",""
"12/12/2021","4.2190","55.8364","","",""
"12/19/2021","4.1960","50.6620","","",""
"12/26/2021","4.1665","44.9131","0.0021","",""
"1/2/2022","4.2048","52.4564","0.0028","",""
"1/9/2022","4.1795","47.8000","0.0013","",""
"1/16/2022","4.1863","49.1076","0.0006","",""
"1/23/2022","4.1905","49.9417","0.0005","",""
"1/30/2022","4.1802","47.8697","-0.0005","",""
"2/6/2022","4.1853","48.9980","-0.0009","",""
"2/13/2022","4.1862","49.2069","-0.0010","",""
"2/20/2022","4.2010","52.6425","0","0.0005","-0.0005"
"2/27/2022","4.1735","46.3668","-0.0014","0.0002","-0.0015"
"3/6/2022","4.1967","51.6081","-0.0006","0","-0.0006"
"3/13/2022","4.2000","52.3219","0.0003","0.0001","0.0002"
"3/20/2022","4.2075","53.9830","0.0016","0.0004","0.0012"
"3/27/2022","4.2133","55.2806","0.0030","0.0009","0.0021"
"4/3/2022","4.2225","57.3357","0.0049","0.0017","0.0032"
"4/10/2022","4.2355","60.1243","0.0073","0.0028","0.0045"
"4/17/2022","4.3253","73.1698","0.0163","0.0055","0.0108"
