"Date","Close","RSI rsi (14)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist"
"7/11/2021","50.4000","","","",""
"7/18/2021","50.2300","","","",""
"7/25/2021","50.0100","","","",""
"8/1/2021","50.7200","","","",""
"8/8/2021","50.5300","","","",""
"8/15/2021","50.3400","","","",""
"8/22/2021","49.8600","","","",""
"8/29/2021","50.0200","","","",""
"9/5/2021","50.0000","","","",""
"9/12/2021","50.1000","","","",""
"9/19/2021","50.8700","","","",""
"9/26/2021","50.7700","","","",""
"10/3/2021","50.7300","","","",""
"10/10/2021","50.7700","59.9432","","",""
"10/17/2021","50.8300","60.6652","","",""
"10/24/2021","50.5400","55.4615","","",""
"10/31/2021","50.2300","50.4770","","",""
"11/7/2021","49.8000","44.5025","","",""
"11/14/2021","50.5000","54.0394","","",""
"11/21/2021","50.5400","54.5204","","",""
"11/28/2021","50.4900","53.7630","","",""
"12/5/2021","50.3600","51.7502","","",""
"12/12/2021","49.9000","45.2891","","",""
"12/19/2021","50.0500","47.5871","","",""
"12/26/2021","51.4900","63.4562","0.0859","",""
"1/2/2022","51.4300","62.6056","0.1556","",""
"1/9/2022","51.4200","62.4554","0.2076","",""
"1/16/2022","51.2900","60.4251","0.2357","",""
"1/23/2022","51.1700","58.5335","0.2454","",""
"1/30/2022","51.2800","59.7765","0.2590","",""
"2/6/2022","51.2500","59.2548","0.2643","",""
"2/13/2022","51.4500","61.6573","0.2814","",""
"2/20/2022","51.2700","58.3241","0.2772","0.2236","0.0537"
"2/27/2022","52.0500","66.7200","0.3330","0.2455","0.0876"
"3/6/2022","52.3600","69.3618","0.3977","0.2759","0.1218"
"3/13/2022","52.3400","68.9813","0.4422","0.3092","0.1330"
"3/20/2022","52.1600","65.4992","0.4577","0.3389","0.1188"
"3/27/2022","51.6000","56.0241","0.4199","0.3551","0.0648"
"4/3/2022","51.6100","56.1461","0.3864","0.3613","0.0250"
"4/10/2022","52.1400","62.1408","0.3979","0.3686","0.0293"
"4/17/2022","52.4400","65.0529","0.4264","0.3802","0.0462"
"4/24/2022","52.3600","63.6470","0.4375","0.3916","0.0458"
"5/1/2022","52.4400","64.4739","0.4475","0.4028","0.0447"
"5/8/2022","52.3700","63.1210","0.4447","0.4112","0.0335"
"5/15/2022","52.2600","60.9564","0.4287","0.4147","0.0140"
"5/22/2022","52.1900","59.5568","0.4056","0.4129","-0.0072"
"5/29/2022","52.9400","68.0275","0.4428","0.4189","0.0239"
"6/5/2022","53.0900","69.4076","0.4788","0.4309","0.0480"
"6/12/2022","53.7600","74.6675","0.5551","0.4557","0.0994"
"6/19/2022","54.9100","80.7768","0.7002","0.5046","0.1956"
"6/26/2022","55.1400","81.7261","0.8243","0.5685","0.2557"
"7/3/2022","55.8600","84.3339","0.9695","0.6487","0.3208"
"7/10/2022","56.3100","85.7069","1.1082","0.7406","0.3675"
"7/17/2022","56.1000","82.0913","1.1874","0.8300","0.3574"
"7/24/2022","55.3300","70.3693","1.1746","0.8989","0.2757"
"7/31/2022","55.6200","71.9915","1.1742","0.9540","0.2203"
"8/7/2022","55.7400","72.6585","1.1701","0.9972","0.1730"
"8/14/2022","56.0200","74.2023","1.1760","1.0330","0.1430"
"8/21/2022","56.1300","74.8041","1.1759","1.0615","0.1144"
"8/28/2022","56.8000","78.1483","1.2159","1.0924","0.1235"
"9/4/2022","56.7900","77.9819","1.2326","1.1204","0.1121"
"9/11/2022","57.3200","80.3674","1.2739","1.1511","0.1227"
"9/18/2022","58.7300","85.0179","1.4042","1.2017","0.2024"
"9/25/2022","58.7100","84.7114","1.4887","1.2591","0.2296"
"10/2/2022","58.9700","85.4460","1.5587","1.3190","0.2396"
"10/9/2022","58.9900","85.5037","1.5973","1.3747","0.2226"
"10/16/2022","58.6400","79.5591","1.5815","1.4161","0.1654"
"10/23/2022","58.0300","70.3757","1.5024","1.4333","0.0691"
"10/30/2022","58.4900","72.9147","1.4600","1.4387","0.0214"
"11/6/2022","57.2200","58.1075","1.3089","1.4127","-0.1038"
"11/13/2022","57.1900","57.8088","1.1731","1.3648","-0.1917"
"11/20/2022","56.7500","53.4683","1.0183","1.2955","-0.2772"
"11/27/2022","55.8400","45.8079","0.8128","1.1990","-0.3861"
"12/4/2022","55.3500","42.2941","0.6035","1.0799","-0.4764"
"12/11/2022","55.3800","42.5844","0.4350","0.9509","-0.5159"
"12/18/2022","55.2600","41.6809","0.2884","0.8184","-0.5300"
"12/25/2022","55.6600","45.8084","0.2022","0.6951","-0.4929"
"1/1/2023","55.2700","42.6397","0.1013","0.5764","-0.4751"
"1/8/2023","54.9000","39.8252","-0.0085","0.4594","-0.4679"
"1/15/2023","54.4300","36.5269","-0.1319","0.3411","-0.4730"
"1/22/2023","54.6400","38.9594","-0.2103","0.2309","-0.4412"
"1/29/2023","53.9500","34.3071","-0.3244","0.1198","-0.4442"
"2/5/2023","54.5200","40.6157","-0.3646","0.0229","-0.3875"
"2/12/2023","55.2700","47.7287","-0.3321","-0.0481","-0.2840"
"2/19/2023","55.2500","47.5651","-0.3045","-0.0994","-0.2051"
"2/26/2023","54.8000","43.9172","-0.3153","-0.1425","-0.1727"
"3/5/2023","54.9200","45.1258","-0.3105","-0.1761","-0.1344"
"3/12/2023","54.6900","43.2040","-0.3217","-0.2053","-0.1164"
"3/19/2023","54.2900","40.0125","-0.3586","-0.2359","-0.1227"
"3/26/2023","54.3000","40.1316","-0.3827","-0.2653","-0.1174"
"4/2/2023","54.5700","43.3983","-0.3756","-0.2873","-0.0883"
"4/9/2023","55.3600","51.7022","-0.3028","-0.2904","-0.0124"
"4/16/2023","55.8500","56.0128","-0.2032","-0.2730","0.0698"
"4/23/2023","55.3900","51.3770","-0.1596","-0.2503","0.0907"
"4/30/2023","55.3500","50.9819","-0.1267","-0.2256","0.0989"
"5/7/2023","55.8600","55.6638","-0.0589","-0.1922","0.1334"
"5/14/2023","55.7300","54.2416","-0.0154","-0.1569","0.1415"
"5/21/2023","55.8200","55.0970","0.0260","-0.1203","0.1463"
"5/28/2023","55.9500","56.3657","0.0685","-0.0826","0.1510"
"6/4/2023","56.0400","57.2660","0.1082","-0.0444","0.1526"
"6/11/2023","55.7500","53.4400","0.1149","-0.0125","0.1275"
"6/18/2023","55.7700","53.6699","0.1205","0.0141","0.1064"
"6/25/2023","55.3000","47.7083","0.0860","0.0285","0.0575"
"7/2/2023","55.5300","50.6001","0.0763","0.0380","0.0383"
"7/9/2023","54.3600","38.8348","-0.0254","0.0253","-0.0508"
"7/16/2023","54.7600","43.6581","-0.0730","0.0057","-0.0787"
"7/23/2023","54.8800","45.0578","-0.0998","-0.0154","-0.0844"
"7/30/2023","55.6600","53.1972","-0.0575","-0.0238","-0.0337"
"8/6/2023","56.5900","60.6771","0.0505","-0.0090","0.0595"
"8/13/2023","56.2200","56.7885","0.1050","0.0138","0.0912"
"8/20/2023","56.6700","60.1348","0.1825","0.0476","0.1349"
"8/27/2023","56.6700","60.1348","0.2410","0.0863","0.1548"
"9/3/2023","56.6900","60.2933","0.2858","0.1262","0.1596"
"9/10/2023","56.7400","60.7138","0.3216","0.1652","0.1563"
"9/17/2023","56.7600","60.8922","0.3475","0.2017","0.1458"
"9/24/2023","56.6100","58.7377","0.3520","0.2318","0.1202"
"10/1/2023","56.6500","59.1528","0.3546","0.2563","0.0983"
"10/8/2023","56.8100","60.8492","0.3654","0.2781","0.0873"
"10/15/2023","56.7600","60.0104","0.3657","0.2957","0.0701"
"10/22/2023","56.9100","61.7154","0.3737","0.3113","0.0625"
"10/29/2023","55.9100","47.2519","0.2960","0.3082","-0.0122"
"11/5/2023","55.8900","47.0145","0.2301","0.2926","-0.0625"
"11/12/2023","55.4000","41.5135","0.1368","0.2614","-0.1246"
"11/19/2023","55.4300","41.9612","0.0645","0.2221","-0.1575"
"11/26/2023","55.3100","40.6216","-0.0024","0.1772","-0.1796"
"12/3/2023","55.6200","45.4653","-0.0301","0.1357","-0.1658"
"12/10/2023","55.8600","48.9381","-0.0323","0.1021","-0.1344"
"12/17/2023","55.5200","44.6046","-0.0608","0.0695","-0.1303"
"12/24/2023","55.4000","43.1522","-0.0920","0.0372","-0.1292"
"12/31/2023","55.4400","43.8090","-0.1122","0.0074","-0.1195"
"1/7/2024","55.7600","48.8959","-0.1012","-0.0144","-0.0868"
"1/14/2024","55.9800","52.1060","-0.0739","-0.0263","-0.0476"
"1/21/2024","56.3400","56.8793","-0.0229","-0.0256","0.0027"
"1/28/2024","56.0600","52.4969","-0.0051","-0.0215","0.0164"
"2/4/2024","56.0200","51.8819","0.0058","-0.0160","0.0218"
"2/11/2024","55.9700","51.0765","0.0102","-0.0108","0.0210"
"2/18/2024","55.9000","49.9083","0.0080","-0.0070","0.0150"
"2/25/2024","56.0600","52.5781","0.0189","-0.0018","0.0208"
"3/3/2024","55.5500","44.4464","-0.0134","-0.0042","-0.0093"
"3/10/2024","55.5900","45.1627","-0.0354","-0.0104","-0.0250"
"3/17/2024","56.3300","56.3712","0.0068","-0.0070","0.0138"
"3/24/2024","56.1700","53.8102","0.0270","-0.0002","0.0272"
"3/31/2024","56.5800","58.9559","0.0753","0.0149","0.0604"
"4/7/2024","56.6300","59.5478","0.1162","0.0352","0.0810"
"4/14/2024","57.4900","68.0750","0.2156","0.0713","0.1443"
"4/21/2024","57.7700","70.2722","0.3133","0.1197","0.1936"
"4/28/2024","57.1500","60.3651","0.3368","0.1631","0.1737"
"5/5/2024","57.6000","64.2992","0.3873","0.2079","0.1794"
"5/12/2024","57.6700","64.8831","0.4280","0.2520","0.1761"
"5/19/2024","58.1700","68.8076","0.4950","0.3006","0.1944"
"5/26/2024","58.5700","71.5471","0.5736","0.3552","0.2185"
"6/2/2024","58.7400","72.6466","0.6423","0.4126","0.2297"
"6/9/2024","58.7100","72.1170","0.6864","0.4674","0.2191"
"6/16/2024","58.8700","73.2376","0.7259","0.5191","0.2068"
"6/23/2024","58.4300","65.4477","0.7135","0.5580","0.1555"
"6/30/2024","58.5600","66.5787","0.7060","0.5876","0.1184"
"7/7/2024","58.4100","63.9763","0.6801","0.6061","0.0740"
"7/14/2024","58.3800","63.4422","0.6497","0.6148","0.0349"
"7/21/2024","58.4700","64.4024","0.6256","0.6170","0.0087"
"7/28/2024","57.8500","53.9001","0.5502","0.6036","-0.0534"
"8/4/2024","57.2800","46.4075","0.4393","0.5707","-0.1314"
"8/11/2024","57.1100","44.4240","0.3339","0.5234","-0.1895"
"8/18/2024","56.3400","36.7603","0.1861","0.4559","-0.2698"
"8/25/2024","56.1400","35.0680","0.0522","0.3752","-0.3230"
"9/1/2024","56.0200","34.0551","-0.0629","0.2876","-0.3504"
"9/8/2024","55.9600","33.5335","-0.1571","0.1986","-0.3557"
"9/15/2024","55.7500","31.7033","-0.2459","0.1097","-0.3556"
"9/22/2024","55.9900","36.0022","-0.2935","0.0291","-0.3226"
"9/29/2024","56.7200","46.9419","-0.2692","-0.0306","-0.2386"
"10/6/2024","57.2500","53.1972","-0.2048","-0.0654","-0.1394"
"10/13/2024","57.5200","56.0405","-0.1305","-0.0784","-0.0521"
"10/20/2024","58.3200","63.1784","-0.0070","-0.0642","0.0571"
"10/27/2024","58.4600","64.2717","0.1010","-0.0311","0.1321"
"11/3/2024","58.4000","63.4028","0.1797","0.0110","0.1687"
"11/10/2024","58.7600","66.3429","0.2680","0.0624","0.2056"
"11/17/2024","58.9800","68.0330","0.3517","0.1203","0.2314"
"11/24/2024","58.6300","62.6435","0.3854","0.1733","0.2121"
"12/1/2024","57.8600","52.7442","0.3459","0.2078","0.1381"
"12/8/2024","58.7000","60.1437","0.3781","0.2419","0.1362"
"12/15/2024","58.7900","60.8510","0.4061","0.2747","0.1314"
"12/22/2024","57.8900","51.0873","0.3517","0.2901","0.0616"
"12/29/2024","58.1200","53.1559","0.3234","0.2968","0.0266"
"1/5/2025","58.6800","57.8319","0.3422","0.3059","0.0363"
"1/12/2025","58.4600","55.4885","0.3355","0.3118","0.0237"
"1/19/2025","58.3300","54.0936","0.3160","0.3126","0.0034"
"1/26/2025","58.4200","54.9382","0.3044","0.3110","-0.0066"
"2/2/2025","58.1100","51.4286","0.2670","0.3022","-0.0352"
"2/9/2025","57.7400","47.5261","0.2052","0.2828","-0.0776"
"2/16/2025","57.8800","49.1000","0.1656","0.2594","-0.0937"
"2/23/2025","57.9700","50.1354","0.1399","0.2355","-0.0956"
"3/2/2025","57.3700","43.7464","0.0703","0.2024","-0.1322"
"3/9/2025","57.2400","42.4832","0.0046","0.1629","-0.1583"
"3/16/2025","57.3200","43.5632","-0.0406","0.1222","-0.1628"
"3/23/2025","57.3600","44.1282","-0.0723","0.0833","-0.1556"
"3/30/2025","57.2800","43.1969","-0.1027","0.0461","-0.1488"
"4/6/2025","56.9600","39.5970","-0.1509","0.0067","-0.1576"
"4/13/2025","56.7300","37.1976","-0.2053","-0.0357","-0.1696"
"4/20/2025","56.2300","32.5763","-0.2855","-0.0857","-0.1998"
"4/27/2025","55.6000","27.8768","-0.3953","-0.1476","-0.2477"
"5/4/2025","55.3600","26.3191","-0.4959","-0.2173","-0.2787"
"5/11/2025","55.8300","34.0866","-0.5316","-0.2801","-0.2515"
"5/18/2025","55.3400","30.4790","-0.5927","-0.3426","-0.2500"
"5/25/2025","55.7800","36.9336","-0.5986","-0.3938","-0.2048"
"6/1/2025","55.8700","38.1975","-0.5893","-0.4329","-0.1564"
"6/8/2025","56.2000","42.7298","-0.5489","-0.4561","-0.0928"
"6/15/2025","57.2200","53.9669","-0.4297","-0.4508","0.0212"
"6/22/2025","56.6600","48.3570","-0.3760","-0.4359","0.0598"
"6/29/2025","56.4300","46.2313","-0.3481","-0.4183","0.0702"
"7/6/2025","56.4900","46.8872","-0.3174","-0.3981","0.0807"
"7/13/2025","57.0100","52.3162","-0.2483","-0.3682","0.1199"
"7/20/2025","57.1200","53.4013","-0.1825","-0.3310","0.1485"
"7/27/2025","57.7300","58.9763","-0.0803","-0.2809","0.2006"
"8/3/2025","56.8200","49.4681","-0.0718","-0.2391","0.1673"
"8/10/2025","57.0400","51.5038","-0.0468","-0.2006","0.1538"
"8/17/2025","56.7800","48.9919","-0.0475","-0.1700","0.1225"
"8/24/2025","57.1800","52.8053","-0.0155","-0.1391","0.1236"
"8/31/2025","56.6300","47.5422","-0.0342","-0.1181","0.0839"
"9/7/2025","57.1700","52.5435","-0.0053","-0.0956","0.0902"
"9/14/2025","57.0600","51.4670","0.0086","-0.0747","0.0833"
"9/21/2025","58.1500","60.1737","0.1063","-0.0385","0.1448"
"9/28/2025","57.9500","58.1136","0.1657","0.0023","0.1634"
"10/5/2025","58.2700","60.4468","0.2359","0.0490","0.1868"
"10/12/2025","58.1400","59.0088","0.2778","0.0948","0.1830"
"10/19/2025","58.6500","62.7526","0.3482","0.1455","0.2027"
"10/26/2025","58.7100","63.1787","0.4041","0.1972","0.2069"
"11/2/2025","59.0600","65.6473","0.4713","0.2520","0.2193"
"11/9/2025","59.0400","65.3776","0.5169","0.3050","0.2119"
"11/16/2025","58.8300","62.4749","0.5300","0.3500","0.1800"
"11/23/2025","58.6300","59.7539","0.5183","0.3837","0.1347"
"11/30/2025","58.9800","62.8068","0.5311","0.4132","0.1180"
"12/7/2025","59.0700","63.5720","0.5423","0.4390","0.1033"
"12/14/2025","58.6200","57.2317","0.5090","0.4530","0.0560"
"12/21/2025","58.7700","58.7100","0.4891","0.4602","0.0289"
"12/28/2025","58.8200","59.2160","0.4719","0.4625","0.0093"
"1/4/2026","59.2600","63.4600","0.4881","0.4677","0.0205"
"1/11/2026","59.4100","64.8046","0.5072","0.4756","0.0317"
"1/18/2026","59.1100","60.0456","0.4925","0.4790","0.0136"
"1/25/2026","58.9300","57.3254","0.4610","0.4754","-0.0144"
"2/1/2026","58.4500","50.7261","0.3928","0.4588","-0.0661"
"2/8/2026","57.8800","44.2165","0.2894","0.4250","-0.1356"
"2/15/2026","57.9200","44.7523","0.2082","0.3816","-0.1734"
"2/22/2026","57.7000","42.3433","0.1248","0.3302","-0.2055"
"3/1/2026","59.1100","57.9619","0.1704","0.2983","-0.1279"
"3/8/2026","59.8000","63.2136","0.2593","0.2905","-0.0312"
"3/15/2026","59.9610","64.3332","0.3388","0.3001","0.0387"
"3/22/2026","60.5410","68.1000","0.4435","0.3288","0.1147"
"3/29/2026","60.2255","64.1323","0.4953","0.3621","0.1332"
"4/5/2026","59.9118","60.3657","0.5052","0.3907","0.1145"
"4/12/2026","59.7058","57.9588","0.4908","0.4108","0.0801"
"4/19/2026","60.6740","65.0188","0.5512","0.4388","0.1123"
"4/26/2026","61.2400","68.3634","0.6373","0.4785","0.1588"
"5/3/2026","60.5100","60.3491","0.6393","0.5107","0.1286"
"5/10/2026","61.6400","66.8311","0.7237","0.5533","0.1704"
"5/17/2026","61.6100","66.5202","0.7793","0.5985","0.1808"
"5/24/2026","61.4200","64.4744","0.7987","0.6385","0.1602"
"5/31/2026","61.6200","65.6712","0.8208","0.6750","0.1458"
"6/7/2026","60.7700","56.8980","0.7609","0.6922","0.0688"
"6/14/2026","60.7000","56.2318","0.6998","0.6937","0.0061"
"6/21/2026","61.2900","60.4367","0.6910","0.6932","-0.0022"
"6/28/2026","61.4700","61.6474","0.6905","0.6926","-0.0021"
"7/5/2026","61.5300","62.0641","0.6871","0.6915","-0.0044"
