"Date","Close","RSI rsi (14)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist"
"7/11/2021","1.3564","","","",""
"7/18/2021","1.3601","","","",""
"7/25/2021","1.3542","","","",""
"8/1/2021","1.3549","","","",""
"8/8/2021","1.3551","","","",""
"8/15/2021","1.3629","","","",""
"8/22/2021","1.3468","","","",""
"8/29/2021","1.3416","","","",""
"9/5/2021","1.3400","","","",""
"9/12/2021","1.3480","","","",""
"9/19/2021","1.3542","","","",""
"9/26/2021","1.3563","","","",""
"10/3/2021","1.3547","","","",""
"10/10/2021","1.3480","46.9662","","",""
"10/17/2021","1.3487","47.5882","","",""
"10/24/2021","1.3495","48.2502","","",""
"10/31/2021","1.3499","48.6265","","",""
"11/7/2021","1.3521","50.5712","","",""
"11/14/2021","1.3592","56.5777","","",""
"11/21/2021","1.3719","64.7582","","",""
"11/28/2021","1.3714","64.2145","","",""
"12/5/2021","1.3632","56.3677","","",""
"12/12/2021","1.3647","57.3513","","",""
"12/19/2021","1.3577","51.3301","","",""
"12/26/2021","1.3482","44.3868","0.0030","",""
"1/2/2022","1.3573","51.1723","0.0027","",""
"1/9/2022","1.3475","44.8467","0.0017","",""
"1/16/2022","1.3441","42.8593","0.0006","",""
"1/23/2022","1.3552","50.5662","0.0007","",""
"1/30/2022","1.3456","44.8941","-0.0001","",""
"2/6/2022","1.3437","43.8874","-0.0008","",""
"2/13/2022","1.3454","45.1261","-0.0012","",""
"2/20/2022","1.3538","50.8101","-0.0009","0.0006","-0.0015"
"2/27/2022","1.3616","55.4632","0","0.0005","-0.0005"
"3/6/2022","1.3619","55.6306","0.0007","0.0005","0.0002"
"3/13/2022","1.3555","51.0684","0.0008","0.0006","0.0002"
"3/20/2022","1.3578","52.5610","0.0010","0.0007","0.0003"
"3/27/2022","1.3571","52.0139","0.0011","0.0008","0.0003"
"4/3/2022","1.3634","56.2586","0.0017","0.0009","0.0007"
"4/10/2022","1.3583","52.2646","0.0017","0.0011","0.0006"
"4/17/2022","1.3703","59.5533","0.0026","0.0014","0.0012"
"4/24/2022","1.3822","65.2404","0.0043","0.0020","0.0023"
"5/1/2022","1.3833","65.7206","0.0057","0.0027","0.0029"
"5/8/2022","1.3935","69.8835","0.0075","0.0037","0.0038"
