"Date","Close","RSI rsi (14)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist"
"7/11/2021","32.8010","","","",""
"7/18/2021","32.9360","","","",""
"7/25/2021","32.9030","","","",""
"8/1/2021","33.4160","","","",""
"8/8/2021","33.3400","","","",""
"8/15/2021","33.3680","","","",""
"8/22/2021","32.5700","","","",""
"8/29/2021","32.4630","","","",""
"9/5/2021","32.6980","","","",""
"9/12/2021","33.3100","","","",""
"9/19/2021","33.4270","","","",""
"9/26/2021","33.6610","","","",""
"10/3/2021","33.8520","","","",""
"10/10/2021","33.3850","61.1388","","",""
"10/17/2021","33.3050","59.7872","","",""
"10/24/2021","33.3690","60.5388","","",""
"10/31/2021","33.1950","57.3979","","",""
"11/7/2021","32.7470","50.1791","","",""
"11/14/2021","32.7880","50.7891","","",""
"11/21/2021","33.7200","62.1375","","",""
"11/28/2021","33.8950","63.8244","","",""
"12/5/2021","33.5920","58.9288","","",""
"12/12/2021","33.3390","55.1266","","",""
"12/19/2021","33.3980","55.8421","","",""
"12/26/2021","33.2040","52.8575","0.1357","",""
"1/2/2022","33.6360","58.2134","0.1496","",""
"1/9/2022","33.1890","51.6719","0.1231","",""
"1/16/2022","32.9810","48.9173","0.0843","",""
"1/23/2022","33.4380","54.6390","0.0894","",""
"1/30/2022","33.0330","49.3622","0.0601","",""
"2/6/2022","32.6580","45.0262","0.0065","",""
"2/13/2022","32.1650","40.0459","-0.0748","",""
"2/20/2022","32.4840","44.3362","-0.1123","0.0513","-0.1636"
"2/27/2022","32.7045","47.1514","-0.1228","0.0165","-0.1392"
"3/6/2022","33.2900","53.8288","-0.0829","-0.0034","-0.0795"
"3/13/2022","33.3160","54.1061","-0.0486","-0.0124","-0.0362"
"3/20/2022","33.5910","57.0448","0.0008","-0.0098","0.0106"
"3/27/2022","33.4445","55.0235","0.0277","-0.0023","0.0300"
"4/3/2022","33.5680","56.4252","0.0584","0.0098","0.0485"
"4/10/2022","33.6350","57.2045","0.0871","0.0253","0.0618"
"4/17/2022","33.9900","61.1670","0.1369","0.0476","0.0893"
"4/24/2022","34.2820","64.1107","0.1977","0.0776","0.1200"
"5/1/2022","34.3120","64.4092","0.2454","0.1112","0.1342"
"5/8/2022","34.7600","68.6081","0.3158","0.1521","0.1637"
"5/15/2022","34.4200","62.5744","0.3402","0.1897","0.1504"
"5/22/2022","34.1190","57.7337","0.3314","0.2181","0.1133"
"5/29/2022","34.3880","60.6625","0.3422","0.2429","0.0993"
"6/5/2022","34.7640","64.3781","0.3768","0.2697","0.1071"
"6/12/2022","35.2650","68.6299","0.4395","0.3036","0.1359"
"6/19/2022","35.4760","70.2410","0.5005","0.3430","0.1575"
"6/26/2022","35.6350","71.4316","0.5553","0.3855","0.1698"
"7/3/2022","35.8710","73.1488","0.6107","0.4305","0.1802"
"7/10/2022","36.6050","77.6487","0.7057","0.4855","0.2201"
"7/17/2022","36.6180","77.7199","0.7731","0.5430","0.2300"
"7/24/2022","36.3550","72.6749","0.7961","0.5937","0.2025"
"7/31/2022","35.7820","63.0690","0.7594","0.6268","0.1326"
"8/7/2022","35.3300","56.7022","0.6859","0.6386","0.0473"
"8/14/2022","35.7650","60.8032","0.6552","0.6419","0.0133"
"8/21/2022","36.1230","63.8388","0.6523","0.6440","0.0082"
"8/28/2022","36.5890","67.3801","0.6797","0.6511","0.0285"
"9/4/2022","36.3790","64.3231","0.6767","0.6562","0.0204"
"9/11/2022","36.9140","68.2725","0.7093","0.6668","0.0424"
"9/18/2022","37.5650","72.2919","0.7787","0.6892","0.0895"
"9/25/2022","37.7450","73.2991","0.8385","0.7191","0.1194"
"10/2/2022","37.5630","70.5082","0.8613","0.7475","0.1138"
"10/9/2022","38.2800","74.6097","0.9266","0.7833","0.1433"
"10/16/2022","38.1820","73.1130","0.9594","0.8185","0.1408"
"10/23/2022","37.9870","70.0997","0.9585","0.8465","0.1120"
"10/30/2022","37.3720","61.4919","0.8979","0.8568","0.0411"
"11/6/2022","36.0320","47.7373","0.7333","0.8321","-0.0988"
"11/13/2022","35.7780","45.6527","0.5757","0.7808","-0.2052"
"11/20/2022","35.8070","45.9430","0.4479","0.7142","-0.2663"
"11/27/2022","34.7350","37.8881","0.2573","0.6228","-0.3656"
"12/4/2022","34.6880","37.5770","0.1012","0.5185","-0.4173"
"12/11/2022","34.9140","40.1227","-0.0042","0.4140","-0.4182"
"12/18/2022","34.7240","38.6940","-0.1019","0.3108","-0.4127"
"12/25/2022","34.5690","37.5203","-0.1897","0.2107","-0.4004"
"1/1/2023","33.7210","31.8313","-0.3239","0.1038","-0.4277"
"1/8/2023","32.9410","27.6747","-0.4876","-0.0145","-0.4731"
"1/15/2023","32.7540","26.7721","-0.6252","-0.1367","-0.4886"
"1/22/2023","32.8050","27.4669","-0.7218","-0.2537","-0.4682"
"1/29/2023","33.3895","35.0706","-0.7427","-0.3515","-0.3912"
"2/5/2023","33.7220","38.9889","-0.7240","-0.4260","-0.2980"
"2/12/2023","34.4930","46.9788","-0.6397","-0.4687","-0.1709"
"2/19/2023","34.9620","51.1681","-0.5289","-0.4808","-0.0481"
"2/26/2023","34.5960","47.9820","-0.4652","-0.4777","0.0124"
"3/5/2023","34.7615","49.5129","-0.3969","-0.4615","0.0646"
"3/12/2023","34.0510","43.5828","-0.3955","-0.4483","0.0528"
"3/19/2023","34.2110","45.1753","-0.3771","-0.4340","0.0570"
"3/26/2023","34.0640","43.9479","-0.3701","-0.4213","0.0511"
"4/2/2023","34.1790","45.2022","-0.3513","-0.4073","0.0560"
"4/9/2023","34.3670","47.2792","-0.3175","-0.3893","0.0718"
"4/16/2023","34.4340","48.0351","-0.2821","-0.3679","0.0858"
"4/23/2023","34.1150","44.7455","-0.2766","-0.3496","0.0730"
"4/30/2023","33.8640","42.2913","-0.2891","-0.3375","0.0484"
"5/7/2023","33.9650","43.6311","-0.2876","-0.3275","0.0399"
"5/14/2023","34.3830","48.9168","-0.2498","-0.3120","0.0622"
"5/21/2023","34.7845","53.4336","-0.1853","-0.2866","0.1014"
"5/28/2023","34.7210","52.6408","-0.1377","-0.2568","0.1192"
"6/4/2023","34.5840","50.8867","-0.1098","-0.2274","0.1177"
"6/11/2023","34.6630","51.8824","-0.0803","-0.1980","0.1177"
"6/18/2023","35.2630","58.7266","-0.0085","-0.1601","0.1516"
"6/25/2023","35.3140","59.2571","0.0519","-0.1177","0.1696"
"7/2/2023","35.0950","55.9326","0.0812","-0.0779","0.1591"
"7/9/2023","34.6800","50.1866","0.0701","-0.0483","0.1185"
"7/16/2023","34.4420","47.1924","0.0417","-0.0303","0.0720"
"7/23/2023","34.2490","44.8553","0.0035","-0.0235","0.0271"
"7/30/2023","34.6520","50.3809","0.0057","-0.0177","0.0234"
"8/6/2023","35.1340","56.0530","0.0458","-0.0050","0.0508"
"8/13/2023","35.3910","58.7599","0.0972","0.0155","0.0818"
"8/20/2023","35.1420","55.2115","0.1165","0.0357","0.0809"
"8/27/2023","35.1110","54.7681","0.1279","0.0541","0.0737"
"9/3/2023","35.6095","60.2910","0.1750","0.0783","0.0967"
"9/10/2023","35.7110","61.3265","0.2181","0.1063","0.1118"
"9/17/2023","35.9210","63.4500","0.2661","0.1382","0.1279"
"9/24/2023","36.5610","69.0311","0.3517","0.1809","0.1708"
"10/1/2023","36.9125","71.5964","0.4429","0.2333","0.2096"
"10/8/2023","36.3110","62.1144","0.4612","0.2789","0.1823"
"10/15/2023","36.4310","63.1626","0.4799","0.3191","0.1608"
"10/22/2023","36.1940","59.6524","0.4702","0.3493","0.1209"
"10/29/2023","35.5070","50.8335","0.4024","0.3599","0.0425"
"11/5/2023","36.0060","55.9299","0.3846","0.3649","0.0197"
"11/12/2023","35.1060","46.5565","0.2944","0.3508","-0.0564"
"11/19/2023","35.3250","48.8048","0.2378","0.3282","-0.0904"
"11/26/2023","34.9790","45.5448","0.1632","0.2952","-0.1320"
"12/3/2023","35.5025","50.8899","0.1447","0.2651","-0.1204"
"12/10/2023","34.8550","45.0056","0.0768","0.2274","-0.1506"
"12/17/2023","34.6065","42.9529","0.0030","0.1825","-0.1796"
"12/24/2023","34.3790","41.1045","-0.0731","0.1314","-0.2045"
"12/31/2023","34.5830","43.4543","-0.1155","0.0820","-0.1976"
"1/7/2024","34.9360","47.3675","-0.1193","0.0417","-0.1611"
