"Date","Close","RSI rsi (14)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist"
"7/11/2021","23,049.0000","","","",""
"7/18/2021","23,049.0000","","","",""
"7/25/2021","23,049.0000","","","",""
"8/1/2021","22,970.0000","","","",""
"8/8/2021","22,873.0000","","","",""
"8/15/2021","22,865.0000","","","",""
"8/22/2021","22,833.0000","","","",""
"8/29/2021","22,805.0000","","","",""
"9/5/2021","22,810.0000","","","",""
"9/12/2021","22,815.0000","","","",""
"9/19/2021","22,803.0000","","","",""
"9/26/2021","22,800.0000","","","",""
"10/3/2021","22,800.0000","","","",""
"10/10/2021","22,803.0000","4.7794","","",""
"10/17/2021","22,799.0000","4.7049","","",""
"10/24/2021","22,800.0000","5.1032","","",""
"10/31/2021","22,680.0000","3.3134","","",""
"11/7/2021","22,685.0000","4.8114","","",""
"11/14/2021","22,700.0000","9.3491","","",""
"11/21/2021","22,720.0000","15.1565","","",""
"11/28/2021","22,875.0000","44.7160","","",""
"12/5/2021","23,067.0000","62.2575","","",""
"12/12/2021","23,025.0000","57.9275","","",""
"12/19/2021","22,995.0000","54.9858","","",""
"12/26/2021","22,870.0000","44.7814","12.6549","",""
"1/2/2022","22,727.0000","36.4481","-0.6043","",""
"1/9/2022","22,737.0000","37.3264","-10.1879","",""
"1/16/2022","22,753.0000","38.7842","-16.3040","",""
"1/23/2022","22,650.0000","33.3985","-29.1266","",""
"1/30/2022","22,689.0000","36.9676","-35.7297","",""
"2/6/2022","22,730.0000","40.5731","-37.2253","",""
"2/13/2022","22,865.0000","50.5942","-27.2035","",""
"2/20/2022","22,865.0000","50.5942","-19.0417","-18.0853","-0.9564"
"2/27/2022","22,875.0000","51.2997","-11.6325","-16.7948","5.1623"
"3/6/2022","22,917.0000","54.2543","-2.3445","-13.9047","11.5602"
"3/13/2022","22,905.0000","53.2601","4.0019","-10.3234","14.3253"
"3/20/2022","22,905.0000","53.2601","8.9285","-6.4730","15.4015"
"3/27/2022","22,882.0000","51.1754","10.8519","-3.0080","13.8599"
"4/3/2022","22,905.0000","53.1502","14.0699","0.4075","13.6623"
"4/10/2022","22,943.0000","56.2954","19.4621","4.2185","15.2437"
"4/17/2022","23,010.0000","61.2367","28.8097","9.1367","19.6730"
"4/24/2022","23,005.0000","60.6853","35.4062","14.3906","21.0156"
"5/1/2022","22,999.0000","59.9873","39.6922","19.4509","20.2413"
"5/8/2022","23,130.0000","68.5055","53.0481","26.1704","26.8777"
"5/15/2022","23,205.0000","72.1597","68.8904","34.7144","34.1760"
"5/22/2022","23,240.0000","73.6937","83.3094","44.4334","38.8760"
"5/29/2022","23,230.0000","72.4651","92.8593","54.1186","38.7407"
