Date,Price
11/07/2021,0.06896
18/07/2021,0.06898
25/07/2021,0.06913
01/08/2021,0.06966
08/08/2021,0.06949
15/08/2021,0.06918
22/08/2021,0.06934
29/08/2021,0.0701
05/09/2021,0.07039
12/09/2021,0.07027
19/09/2021,0.07012
26/09/2021,0.06988
03/10/2021,0.07029
10/10/2021,0.07103
17/10/2021,0.07079
24/10/2021,0.07057
31/10/2021,0.06978
07/11/2021,0.07023
14/11/2021,0.07022
21/11/2021,0.0699
28/11/2021,0.06944
05/12/2021,0.06956
12/12/2021,0.06958
19/12/2021,0.07031
26/12/2021,0.07015
02/01/2022,0.06963
09/01/2022,0.06993
16/01/2022,0.06973
23/01/2022,0.06949
30/01/2022,0.06953
06/02/2022,0.06967
13/02/2022,0.06977
20/02/2022,0.06959
27/02/2022,0.06949
06/03/2022,0.0699
13/03/2022,0.06972
20/03/2022,0.06972
27/03/2022,0.06958
03/04/2022,0.06962
10/04/2022,0.06971
17/04/2022,0.06964
24/04/2022,0.06897
01/05/2022,6.897e-05
08/05/2022,0.06842
15/05/2022,0.06824
22/05/2022,0.06859
29/05/2022,0.06925
05/06/2022,0.0687
12/06/2022,0.06745
19/06/2022,0.06734
26/06/2022,0.06693
03/07/2022,0.06676
10/07/2022,0.06668
17/07/2022,0.06657
24/07/2022,0.0674
31/07/2022,0.06713
07/08/2022,0.06816
14/08/2022,0.06738
21/08/2022,0.06747
28/08/2022,0.06711
04/09/2022,0.06742
11/09/2022,0.06686
18/09/2022,0.06648
25/09/2022,0.06565
02/10/2022,0.06555
09/10/2022,0.06481
16/10/2022,0.06395
23/10/2022,0.06428
30/10/2022,0.06353
06/11/2022,0.06451
13/11/2022,0.06373
20/11/2022,0.06379
27/11/2022,0.0648
04/12/2022,0.06417
11/12/2022,0.0641
18/12/2022,0.06412
25/12/2022,0.06422
01/01/2023,0.06395
08/01/2023,0.066
15/01/2023,0.06631
22/01/2023,0.06671
29/01/2023,0.06713
05/02/2023,0.06606
12/02/2023,0.06576
19/02/2023,0.06565
26/02/2023,0.06533
05/03/2023,0.0647
12/03/2023,0.06514
19/03/2023,0.06596
26/03/2023,0.06667
02/04/2023,0.06704
09/04/2023,0.068
16/04/2023,0.06734
23/04/2023,0.06814
30/04/2023,0.06811
07/05/2023,0.06777
14/05/2023,0.06697
21/05/2023,0.06684
28/05/2023,0.06668
04/06/2023,0.06736
11/06/2023,0.06693
18/06/2023,0.06667
25/06/2023,0.06668
02/07/2023,0.06605
09/07/2023,0.06684
16/07/2023,0.06653
23/07/2023,0.06622
30/07/2023,0.06589
06/08/2023,0.0657
13/08/2023,0.0654
20/08/2023,0.06535
27/08/2023,0.06559
03/09/2023,0.06523
10/09/2023,0.06512
17/09/2023,0.06501
24/09/2023,0.06468
01/10/2023,0.06404
08/10/2023,0.06375
15/10/2023,0.06297
22/10/2023,0.06271
29/10/2023,0.06355
05/11/2023,0.06369
12/11/2023,0.06453
19/11/2023,0.06422
26/11/2023,0.06455
03/12/2023,0.06445
10/12/2023,0.06453
17/12/2023,0.06457
24/12/2023,0.06493
31/12/2023,0.06443
07/01/2024,0.06428
14/01/2024,0.06402
21/01/2024,0.06319
28/01/2024,0.06385
04/02/2024,0.06393
11/02/2024,0.064
18/02/2024,0.0641
25/02/2024,0.06367
03/03/2024,0.06412
10/03/2024,0.0641
17/03/2024,0.06335
24/03/2024,0.06305
31/03/2024,0.06309
07/04/2024,0.0620463
14/04/2024,0.0615
21/04/2024,0.06167
28/04/2024,0.06215
05/05/2024,0.0623
12/05/2024,0.06265
19/05/2024,0.06251
26/05/2024,0.06151
02/06/2024,0.06173
09/06/2024,0.06095
16/06/2024,0.06077
23/06/2024,0.06105
30/06/2024,0.06142
07/07/2024,0.06195
14/07/2024,0.06174
21/07/2024,0.06136
28/07/2024,0.0617
04/08/2024,0.06277
11/08/2024,0.06371
18/08/2024,0.06453
25/08/2024,0.06468
01/09/2024,0.06506
08/09/2024,0.06491
15/09/2024,0.06598
22/09/2024,0.06609
29/09/2024,0.06455
06/10/2024,0.06418
13/10/2024,0.06464
20/10/2024,0.06391
27/10/2024,0.06359
03/11/2024,0.06379
10/11/2024,0.06305
17/11/2024,0.06297
24/11/2024,0.06309
01/12/2024,0.06307
08/12/2024,0.0625
15/12/2024,0.06173
22/12/2024,0.06157
29/12/2024,0.06174
05/01/2025,0.06176
12/01/2025,0.06108
19/01/2025,0.06182
26/01/2025,0.06114435
02/02/2025,0.06142
09/02/2025,0.06148
16/02/2025,0.06131
23/02/2025,0.06029
02/03/2025,0.06134
09/03/2025,0.06114
16/03/2025,0.06058
23/03/2025,0.06036
30/03/2025,0.06036
06/04/2025,0.059535
13/04/2025,0.05943
20/04/2025,0.059415
27/04/2025,0.06084
04/05/2025,0.060545
11/05/2025,0.06082
18/05/2025,0.06166
25/05/2025,0.06138
01/06/2025,0.06144
08/06/2025,0.06136
15/06/2025,0.06103
22/06/2025,0.06171
29/06/2025,0.06178
06/07/2025,0.061685
13/07/2025,0.06138
20/07/2025,0.06129
27/07/2025,0.06064
03/08/2025,0.06138
10/08/2025,0.06188
17/08/2025,0.061195
24/08/2025,0.06064
31/08/2025,0.060895
07/09/2025,0.061055
14/09/2025,0.06027
21/09/2025,0.05977
28/09/2025,0.06047
05/10/2025,0.06042
12/10/2025,0.06031
19/10/2025,0.060255
26/10/2025,0.06013
02/11/2025,0.05993
09/11/2025,0.059895
16/11/2025,0.059895
23/11/2025,0.06004
30/11/2025,0.06009
07/12/2025,0.06009
14/12/2025,0.05973
21/12/2025,0.05968
28/12/2025,0.059805
04/01/2026,0.05952
11/01/2026,0.05922
18/01/2026,0.059465
25/01/2026,0.05957
01/02/2026,0.05929
08/02/2026,0.059415
15/02/2026,0.05929
22/02/2026,0.059645
01/03/2026,0.05915
08/03/2026,0.059025
15/03/2026,0.05889
22/03/2026,0.05894
29/03/2026,0.058835
05/04/2026,0.05851
12/04/2026,0.058185
19/04/2026,0.05816
26/04/2026,0.057765
03/05/2026,0.057585
10/05/2026,0.057255
17/05/2026,0.056505
24/05/2026,0.055955
31/05/2026,0.055505
07/06/2026,0.055955
14/06/2026,0.056235
21/06/2026,0.05583
28/06/2026,0.055705
05/07/2026,0.055395
