Date,Price
7/11/2021,4.2075
7/18/2021,4.2298
7/25/2021,4.2247
8/1/2021,4.2228
8/8/2021,4.236
8/15/2021,4.2385
8/22/2021,4.19
8/29/2021,4.1465
9/5/2021,4.1385
9/12/2021,4.1715
9/19/2021,4.1892
9/26/2021,4.185
10/3/2021,4.1757
10/10/2021,4.1585
10/17/2021,4.1565
10/24/2021,4.147
10/31/2021,4.16
11/7/2021,4.1665
11/14/2021,4.1867
11/21/2021,4.2455
11/28/2021,4.2308
12/5/2021,4.2125
12/12/2021,4.219
12/19/2021,4.196
12/26/2021,4.1665
1/2/2022,4.2048
1/9/2022,4.1795
1/16/2022,4.1863
1/23/2022,4.1905
1/30/2022,4.1802
2/6/2022,4.1853
2/13/2022,4.1862
2/20/2022,4.201
2/27/2022,4.1735
3/6/2022,4.1967
3/13/2022,4.2
3/20/2022,4.2075
3/27/2022,4.2133
4/3/2022,4.2225
4/10/2022,4.2355
4/17/2022,4.3253
4/24/2022,4.3462
5/1/2022,4.363
5/8/2022,4.388
5/15/2022,4.389
5/22/2022,4.3793
5/29/2022,4.3941
6/5/2022,4.4004
6/12/2022,4.4005
6/19/2022,4.399
6/26/2022,4.4082
7/3/2022,4.4275
7/10/2022,4.4503
7/17/2022,4.4565
7/24/2022,4.4495
7/31/2022,4.4543
8/7/2022,4.446
8/14/2022,4.4742
8/21/2022,4.4706
8/28/2022,4.479
9/4/2022,4.4985
9/11/2022,4.5463
9/18/2022,4.5795
9/25/2022,4.6475
10/2/2022,4.6521
10/9/2022,4.7065
10/16/2022,4.7385
10/23/2022,4.7225
10/30/2022,4.7403
11/6/2022,4.6275
11/13/2022,4.5405
11/20/2022,4.4817
11/27/2022,4.392
12/4/2022,4.4035
12/11/2022,4.4238
12/18/2022,4.4246
12/25/2022,4.38
1/1/2023,4.4035
1/8/2023,4.3345
1/15/2023,4.2855
1/22/2023,4.2427
1/29/2023,4.2627
2/5/2023,4.3355
2/12/2023,4.4275
2/19/2023,4.439
2/26/2023,4.4656
3/5/2023,4.503
3/12/2023,4.4742
3/19/2023,4.4275
3/26/2023,4.4153
