Date,Price
7/11/2021,50.4
7/18/2021,50.23
7/25/2021,50.01
8/1/2021,50.72
8/8/2021,50.53
8/15/2021,50.34
8/22/2021,49.86
8/29/2021,50.02
9/5/2021,50.0
9/12/2021,50.1
9/19/2021,50.87
9/26/2021,50.77
10/3/2021,50.73
10/10/2021,50.77
10/17/2021,50.83
10/24/2021,50.54
10/31/2021,50.23
11/7/2021,49.8
11/14/2021,50.5
11/21/2021,50.54
11/28/2021,50.49
12/5/2021,50.36
12/12/2021,49.9
12/19/2021,50.05
12/26/2021,51.49
1/2/2022,51.43
1/9/2022,51.42
1/16/2022,51.29
1/23/2022,51.17
1/30/2022,51.28
2/6/2022,51.25
2/13/2022,51.45
2/20/2022,51.27
2/27/2022,52.05
3/6/2022,52.36
3/13/2022,52.34
3/20/2022,52.16
3/27/2022,51.6
4/3/2022,51.61
4/10/2022,52.14
4/17/2022,52.44
4/24/2022,52.36
5/1/2022,52.44
5/8/2022,52.37
5/15/2022,52.26
5/22/2022,52.19
5/29/2022,52.94
6/5/2022,53.09
6/12/2022,53.76
6/19/2022,54.91
6/26/2022,55.14
7/3/2022,55.86
7/10/2022,56.31
7/17/2022,56.1
7/24/2022,55.33
7/31/2022,55.62
8/7/2022,55.74
8/14/2022,56.02
8/21/2022,56.13
8/28/2022,56.8
9/4/2022,56.79
9/11/2022,57.32
9/18/2022,58.73
9/25/2022,58.71
10/2/2022,58.97
10/9/2022,58.99
10/16/2022,58.64
10/23/2022,58.03
10/30/2022,58.49
11/6/2022,57.22
11/13/2022,57.19
11/20/2022,56.75
11/27/2022,55.84
12/4/2022,55.35
12/11/2022,55.38
12/18/2022,55.26
12/25/2022,55.66
1/1/2023,55.27
1/8/2023,54.9
1/15/2023,54.43
1/22/2023,54.64
1/29/2023,53.95
2/5/2023,54.52
2/12/2023,55.27
2/19/2023,55.25
2/26/2023,54.8
3/5/2023,54.92
3/12/2023,54.69
3/19/2023,54.29
3/26/2023,54.3
4/2/2023,54.57
4/9/2023,55.36
4/16/2023,55.85
4/23/2023,55.39
4/30/2023,55.35
5/7/2023,55.86
5/14/2023,55.73
5/21/2023,55.82
5/28/2023,55.95
6/4/2023,56.04
6/11/2023,55.75
6/18/2023,55.77
6/25/2023,55.3
7/2/2023,55.53
7/9/2023,54.36
7/16/2023,54.76
7/23/2023,54.88
7/30/2023,55.66
8/6/2023,56.59
8/13/2023,56.22
8/20/2023,56.67
8/27/2023,56.67
9/3/2023,56.69
9/10/2023,56.74
9/17/2023,56.76
9/24/2023,56.61
10/1/2023,56.65
10/8/2023,56.81
10/15/2023,56.76
10/22/2023,56.91
10/29/2023,55.91
11/5/2023,55.89
11/12/2023,55.4
11/19/2023,55.43
11/26/2023,55.31
12/3/2023,55.62
12/10/2023,55.86
12/17/2023,55.52
12/24/2023,55.4
12/31/2023,55.44
1/7/2024,55.76
1/14/2024,55.98
1/21/2024,56.34
1/28/2024,56.06
2/4/2024,56.02
2/11/2024,55.97
2/18/2024,55.9
2/25/2024,56.06
3/3/2024,55.55
3/10/2024,55.59
3/17/2024,56.33
3/24/2024,56.17
3/31/2024,56.58
4/7/2024,56.63
4/14/2024,57.49
4/21/2024,57.77
4/28/2024,57.15
5/5/2024,57.6
5/12/2024,57.67
5/19/2024,58.17
5/26/2024,58.57
6/2/2024,58.74
6/9/2024,58.71
6/16/2024,58.87
6/23/2024,58.43
6/30/2024,58.56
7/7/2024,58.41
7/14/2024,58.38
7/21/2024,58.47
7/28/2024,57.85
8/4/2024,57.28
8/11/2024,57.11
8/18/2024,56.34
8/25/2024,56.14
9/1/2024,56.02
9/8/2024,55.96
9/15/2024,55.75
9/22/2024,55.99
9/29/2024,56.72
10/6/2024,57.25
10/13/2024,57.52
10/20/2024,58.32
10/27/2024,58.46
11/3/2024,58.4
11/10/2024,58.76
11/17/2024,58.98
11/24/2024,58.63
12/1/2024,57.86
12/8/2024,58.7
12/15/2024,58.79
12/22/2024,57.89
12/29/2024,58.12
1/5/2025,58.68
1/12/2025,58.46
1/19/2025,58.33
1/26/2025,58.42
2/2/2025,58.11
2/9/2025,57.74
2/16/2025,57.88
2/23/2025,57.97
3/2/2025,57.37
3/9/2025,57.24
3/16/2025,57.32
3/23/2025,57.36
3/30/2025,57.28
4/6/2025,56.96
4/13/2025,56.73
4/20/2025,56.23
4/27/2025,55.6
5/4/2025,55.36
5/11/2025,55.83
5/18/2025,55.34
5/25/2025,55.78
6/1/2025,55.87
6/8/2025,56.2
6/15/2025,57.22
6/22/2025,56.66
6/29/2025,56.43
7/6/2025,56.49
7/13/2025,57.01
7/20/2025,57.12
7/27/2025,57.73
8/3/2025,56.82
8/10/2025,57.04
8/17/2025,56.78
8/24/2025,57.18
8/31/2025,56.63
9/7/2025,57.17
9/14/2025,57.06
9/21/2025,58.15
9/28/2025,57.95
10/5/2025,58.27
10/12/2025,58.14
10/19/2025,58.65
10/26/2025,58.71
11/2/2025,59.06
11/9/2025,59.04
11/16/2025,58.83
11/23/2025,58.63
11/30/2025,58.98
12/7/2025,59.07
12/14/2025,58.62
12/21/2025,58.77
12/28/2025,58.82
1/4/2026,59.26
1/11/2026,59.41
1/18/2026,59.11
1/25/2026,58.93
2/1/2026,58.45
2/8/2026,57.88
2/15/2026,57.92
2/22/2026,57.7
3/1/2026,59.11
3/8/2026,59.8
3/15/2026,59.961
3/22/2026,60.541
3/29/2026,60.2255
4/5/2026,59.9118
4/12/2026,59.7058
4/19/2026,60.674
4/26/2026,61.24
5/3/2026,60.51
5/10/2026,61.64
5/17/2026,61.61
5/24/2026,61.42
5/31/2026,61.62
6/7/2026,60.77
6/14/2026,60.7
6/21/2026,61.29
6/28/2026,61.47
7/5/2026,61.53
