Date,Price
7/11/2021,1.3564
7/18/2021,1.3601
7/25/2021,1.3542
8/1/2021,1.3549
8/8/2021,1.3551
8/15/2021,1.3629
8/22/2021,1.3468
8/29/2021,1.3416
9/5/2021,1.34
9/12/2021,1.348
9/19/2021,1.3542
9/26/2021,1.3563
10/3/2021,1.3547
10/10/2021,1.348
10/17/2021,1.3487
10/24/2021,1.3495
10/31/2021,1.3499
11/7/2021,1.3521
11/14/2021,1.3592
11/21/2021,1.3719
11/28/2021,1.3714
12/5/2021,1.3632
12/12/2021,1.3647
12/19/2021,1.3577
12/26/2021,1.3482
1/2/2022,1.3573
1/9/2022,1.3475
1/16/2022,1.3441
1/23/2022,1.3552
1/30/2022,1.3456
2/6/2022,1.3437
2/13/2022,1.3454
2/20/2022,1.3538
2/27/2022,1.3616
3/6/2022,1.3619
3/13/2022,1.3555
3/20/2022,1.3578
3/27/2022,1.3571
4/3/2022,1.3634
4/10/2022,1.3583
4/17/2022,1.3703
4/24/2022,1.3822
5/1/2022,1.3833
5/8/2022,1.3935
5/15/2022,1.3813
5/22/2022,1.3695
5/29/2022,1.3759
6/5/2022,1.3873
6/12/2022,1.3903
6/19/2022,1.3862
6/26/2022,1.398
7/3/2022,1.398
7/10/2022,1.3991
7/17/2022,1.3863
7/24/2022,1.3819
7/31/2022,1.3824
8/7/2022,1.3722
8/14/2022,1.3917
8/21/2022,1.3928
8/28/2022,1.3993
9/4/2022,1.3994
9/11/2022,1.4072
9/18/2022,1.4278
9/25/2022,1.4349
10/2/2022,1.4307
10/9/2022,1.4256
10/16/2022,1.422
10/23/2022,1.4122
10/30/2022,1.406
11/6/2022,1.375
11/13/2022,1.3731
11/20/2022,1.3759
11/27/2022,1.3546
12/4/2022,1.3516
12/11/2022,1.3589
12/18/2022,1.3504
12/25/2022,1.3409
1/1/2023,1.339
1/8/2023,1.3206
1/15/2023,1.32
1/22/2023,1.3127
1/29/2023,1.3204
2/5/2023,1.3301
2/12/2023,1.3375
2/19/2023,1.3485
2/26/2023,1.347
3/5/2023,1.3498
3/12/2023,1.3414
3/19/2023,1.3323
3/26/2023,1.3298
4/2/2023,1.3315
4/9/2023,1.3312
4/16/2023,1.3351
4/23/2023,1.3337
4/30/2023,1.3256
5/7/2023,1.3379
