Date,Price
7/11/2021,32.801
7/18/2021,32.936
7/25/2021,32.903
8/1/2021,33.416
8/8/2021,33.34
8/15/2021,33.368
8/22/2021,32.57
8/29/2021,32.463
9/5/2021,32.698
9/12/2021,33.31
9/19/2021,33.427
9/26/2021,33.661
10/3/2021,33.852
10/10/2021,33.385
10/17/2021,33.305
10/24/2021,33.369
10/31/2021,33.195
11/7/2021,32.747
11/14/2021,32.788
11/21/2021,33.72
11/28/2021,33.895
12/5/2021,33.592
12/12/2021,33.339
12/19/2021,33.398
12/26/2021,33.204
1/2/2022,33.636
1/9/2022,33.189
1/16/2022,32.981
1/23/2022,33.438
1/30/2022,33.033
2/6/2022,32.658
2/13/2022,32.165
2/20/2022,32.484
2/27/2022,32.7045
3/6/2022,33.29
3/13/2022,33.316
3/20/2022,33.591
3/27/2022,33.4445
4/3/2022,33.568
4/10/2022,33.635
4/17/2022,33.99
4/24/2022,34.282
5/1/2022,34.312
5/8/2022,34.76
5/15/2022,34.42
5/22/2022,34.119
5/29/2022,34.388
6/5/2022,34.764
6/12/2022,35.265
6/19/2022,35.476
6/26/2022,35.635
7/3/2022,35.871
7/10/2022,36.605
7/17/2022,36.618
7/24/2022,36.355
7/31/2022,35.782
8/7/2022,35.33
8/14/2022,35.765
8/21/2022,36.123
8/28/2022,36.589
9/4/2022,36.379
9/11/2022,36.914
9/18/2022,37.565
9/25/2022,37.745
10/2/2022,37.563
10/9/2022,38.28
10/16/2022,38.182
10/23/2022,37.987
10/30/2022,37.372
11/6/2022,36.032
11/13/2022,35.778
11/20/2022,35.807
11/27/2022,34.735
12/4/2022,34.688
12/11/2022,34.914
12/18/2022,34.724
12/25/2022,34.569
1/1/2023,33.721
1/8/2023,32.941
1/15/2023,32.754
1/22/2023,32.805
1/29/2023,33.3895
2/5/2023,33.722
2/12/2023,34.493
2/19/2023,34.962
2/26/2023,34.596
3/5/2023,34.7615
3/12/2023,34.051
3/19/2023,34.211
3/26/2023,34.064
4/2/2023,34.179
4/9/2023,34.367
4/16/2023,34.434
4/23/2023,34.115
4/30/2023,33.864
5/7/2023,33.965
5/14/2023,34.383
5/21/2023,34.7845
5/28/2023,34.721
6/4/2023,34.584
6/11/2023,34.663
6/18/2023,35.263
6/25/2023,35.314
7/2/2023,35.095
7/9/2023,34.68
7/16/2023,34.442
7/23/2023,34.249
7/30/2023,34.652
8/6/2023,35.134
8/13/2023,35.391
8/20/2023,35.142
8/27/2023,35.111
