Date,Price
7/11/2021,"23,049.0000"
7/18/2021,"23,049.0000"
7/25/2021,"23,049.0000"
8/1/2021,"22,970.0000"
8/8/2021,"22,873.0000"
8/15/2021,"22,865.0000"
8/22/2021,"22,833.0000"
8/29/2021,"22,805.0000"
9/5/2021,"22,810.0000"
9/12/2021,"22,815.0000"
9/19/2021,"22,803.0000"
9/26/2021,"22,800.0000"
10/3/2021,"22,800.0000"
10/10/2021,"22,803.0000"
10/17/2021,"22,799.0000"
10/24/2021,"22,800.0000"
10/31/2021,"22,680.0000"
11/7/2021,"22,685.0000"
11/14/2021,"22,700.0000"
11/21/2021,"22,720.0000"
11/28/2021,"22,875.0000"
12/5/2021,"23,067.0000"
12/12/2021,"23,025.0000"
12/19/2021,"22,995.0000"
12/26/2021,"22,870.0000"
1/2/2022,"22,727.0000"
1/9/2022,"22,737.0000"
1/16/2022,"22,753.0000"
1/23/2022,"22,650.0000"
1/30/2022,"22,689.0000"
2/6/2022,"22,730.0000"
2/13/2022,"22,865.0000"
2/20/2022,"22,865.0000"
2/27/2022,"22,875.0000"
3/6/2022,"22,917.0000"
3/13/2022,"22,905.0000"
3/20/2022,"22,905.0000"
3/27/2022,"22,882.0000"
4/3/2022,"22,905.0000"
4/10/2022,"22,943.0000"
4/17/2022,"23,010.0000"
4/24/2022,"23,005.0000"
5/1/2022,"22,999.0000"
5/8/2022,"23,130.0000"
5/15/2022,"23,205.0000"
5/22/2022,"23,240.0000"
5/29/2022,"23,230.0000"
6/5/2022,"23,220.0000"
6/12/2022,"23,263.0000"
6/19/2022,"23,290.0000"
6/26/2022,"23,345.0000"
7/3/2022,"23,377.0000"
7/10/2022,"23,455.0000"
7/17/2022,"23,405.0000"
7/24/2022,"23,340.0000"
7/31/2022,"23,390.0000"
8/7/2022,"23,397.0000"
8/14/2022,"23,405.0000"
8/21/2022,"23,417.0000"
8/28/2022,"23,455.0000"
9/4/2022,"23,520.0000"
9/11/2022,"23,655.0000"
9/18/2022,"23,705.0000"
9/25/2022,"23,860.0000"
10/2/2022,"23,880.0000"
10/9/2022,"24,115.0000"
10/16/2022,"24,825.0000"
10/23/2022,"24,825.0000"
10/30/2022,"24,875.0000"
11/6/2022,"24,810.0000"
11/13/2022,"24,805.0000"
11/20/2022,"24,765.0000"
11/27/2022,"24,355.0000"
12/4/2022,"23,555.0000"
12/11/2022,"23,585.0000"
12/18/2022,"23,564.0000"
12/25/2022,"23,615.0000"
1/1/2023,"23,465.0000"
1/8/2023,"23,440.0000"
1/15/2023,"23,443.0000"
1/22/2023,"23,465.0000"
1/29/2023,"23,445.0000"
2/5/2023,"23,570.0000"
2/12/2023,"23,815.0000"
2/19/2023,"23,785.0000"
